station,peak_time_s,peak_amplitude,peak_distance_m,peak_source_time_s,peak_phi_deg,peak_f_obs_hz,side,distance_km,station_distance_km
E_07.5km,110.16314836549783,6.353407138441737e-05,13227.159889365754,71.60000000000001,41.79073979329124,9.827984112436303,East,13.227159889365753,7.5
W_14.0km,111.66839001900934,5.135306694762853e-05,18716.957776520205,57.1,35.57175876852361,10.867909258456244,West,18.716957776520204,14.0
W_14.5km,114.0937274467332,4.970238153943115e-05,19343.04851422949,57.7,35.55926183526909,10.790516226566554,West,19.34304851422949,14.5
E_08.0km,115.03689256155238,5.953803451066466e-05,14109.954148612462,73.9,41.80379917025861,9.60818320190877,East,14.109954148612461,8.0
W_15.0km,116.52991902927057,4.815849814701538e-05,19972.862227039805,58.300000000000004,35.528032529391844,10.712499938208493,West,19.972862227039805,15.0
W_15.5km,118.97690931839162,4.671122340064192e-05,20606.37989620832,58.900000000000006,35.479800759662886,10.633929729412364,West,20.60637989620832,15.5
E_08.5km,119.78139642878861,5.603938926982257e-05,14982.718975074487,76.10000000000001,41.822996652744166,9.398941236970941,East,14.982718975074487,8.5
W_16.0km,121.43467256326372,4.535150034938396e-05,21243.592689199457,59.5,35.416106436297355,10.5547612199974,West,21.243592689199456,16.0
E_09.0km,124.60599338848172,5.2953770282270585e-05,15882.95573224923,78.30000000000001,41.76548465603177,9.184492335584709,East,15.88295573224923,9.0
E_09.5km,129.51745218563318,5.022677447716777e-05,16812.986099672176,80.5,41.6279944347107,8.957040276271542,East,16.812986099672177,9.5
E_10.0km,134.0758728652026,4.782762978712254e-05,17690.524392764488,82.5,41.56164038258013,8.738135901976563,East,17.690524392764488,10.0
E_10.5km,138.25731364136658,4.5673831906218454e-05,18507.358578988733,84.30000000000001,41.594302522996436,8.550939078954105,East,18.507358578988732,10.5
E_11.0km,142.51314481536804,4.372892298416016e-05,19349.708671671237,86.10000000000001,41.56017300064503,8.361352023327324,East,19.349708671671237,11.0
E_11.5km,146.84737925160147,4.196342183784724e-05,20218.951083299304,87.9,41.46541581691167,8.169993324343771,East,20.218951083299302,11.5
E_12.0km,150.76367219638877,4.0352853954844896e-05,21013.439563361353,89.5,41.486238662322144,8.010088115747065,East,21.013439563361352,12.0
E_12.5km,154.74442424349706,3.887741477270026e-05,21830.03751551949,91.10000000000001,41.45577823146186,7.848598911056898,East,21.83003751551949,12.5
E_13.0km,158.79265688666294,3.7520408742511334e-05,22669.781312125386,92.7,41.37816018836874,7.685944646687663,East,22.669781312125387,13.0
E_13.5km,162.64585104125155,3.6267663134471777e-05,23476.926907149274,94.2,41.342061816368876,7.538243686357127,East,23.476926907149274,13.5
E_14.0km,166.2913304826322,3.510743684070583e-05,24247.126355542834,95.60000000000001,41.35033836803686,7.40523788570003,East,24.247126355542836,14.0
E_14.5km,169.99177886033533,3.402950003542946e-05,25036.180149095013,97.0,41.32078002797924,7.271289845466764,East,25.036180149095014,14.5
E_15.0km,173.74939115507416,3.302510151965173e-05,25844.841166190436,98.4,41.25599537314551,7.136664503068912,East,25.844841166190434,15.0
E_15.5km,177.28099330395992,3.2086958777275906e-05,26610.280703258257,99.7,41.24292123001753,7.016598168344426,East,26.61028070325826,15.5
E_16.0km,180.57400118881975,3.120839311016586e-05,27328.18240776517,100.9,41.28348839422071,6.910786818098261,East,27.32818240776517,16.0
